pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,pv_bus_vn_kv,existing_load_at_bus_kw,transformer_association,feeder_section,transformer_sn_kva,base_voltage_pu,feeder_distance_km,upstream_r_ohm,upstream_x_ohm,upstream_z_ohm,pv_penetration_ratio,pv_to_transformer_ratio,new_pv_to_transformer_ratio,load_to_transformer_ratio,label
7122,0.0,3.7,3.7,0.24,0.0,T18,LV_secondary_T2_T4,300.0,0.95826,7.7724,4.5565,3.3703,5.6675,3.7,0.012333333333333333,0.012333333333333333,0.0,SAFE
7691,0.0,6.0,6.0,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,6.0,0.04,0.04,0.0,SAFE
6261,2.2,7.9,10.100000000000001,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,10.100000000000001,0.03366666666666667,0.026333333333333334,0.0,SAFE
7482,0.0,2.7,2.7,0.24,0.0,T8,LV_secondary_T2_T4,150.0,0.95585,27.31,18.8387,13.9267,23.4276,2.7,0.018000000000000002,0.018000000000000002,0.0,SAFE
716,0.0,3.9,3.9,0.48,15.85,T24(HV),Branch_701-708,300.0,0.97763,0.9144,0.4676,0.2627,0.5363,0.24605678233438485,0.013,0.013,0.05283333333333333,SAFE
6322,0.0,12.3,12.3,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,12.3,0.082,0.082,0.0,SAFE
7391,8.7,11.1,19.799999999999997,0.24,0.0,T6,LV_secondary_T2_T4,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,19.799999999999997,0.13199999999999998,0.074,0.0,SAFE
621,0.0,13.9,13.9,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,13.9,0.04633333333333334,0.04633333333333334,0.0,SAFE
7691,4.1,15.3,19.4,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,19.4,0.12933333333333333,0.10200000000000001,0.0,SAFE
770,0.0,9.3,9.3,0.24,450.0,T15,Delta_766-772,1500.0,0.95059,44.5068,31.369,22.8385,38.8022,0.020666666666666667,0.006200000000000001,0.006200000000000001,0.3,SAFE
759,5.6,19.5,25.1,0.24,35.0,T12,Branch_752-765,150.0,0.93737,40.2701,27.7136,20.528,34.4883,0.7171428571428572,0.16733333333333333,0.13,0.23333333333333334,SAFE
715,0.0,17.5,17.5,0.208,0.0,-,Branch_701-708,5000.0,0.99083,0.9144,0.4676,0.2627,0.5363,17.5,0.0035,0.0035,0.0,SAFE
7483,0.0,12.6,12.6,0.24,0.0,T8,LV_secondary_T2_T4,150.0,0.95585,27.31,18.8387,13.9267,23.4276,12.6,0.08399999999999999,0.08399999999999999,0.0,SAFE
725,5.8,11.2,17.0,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.1872,4.2178,2.8303,5.0794,17.0,0.0034,0.00224,0.0,SAFE
620,0.0,12.4,12.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,12.4,0.04133333333333333,0.04133333333333333,0.0,SAFE
716,8.5,18.7,27.2,0.48,15.85,T24(HV),Branch_701-708,300.0,0.97763,0.9144,0.4676,0.2627,0.5363,1.7160883280757098,0.09066666666666666,0.06233333333333333,0.05283333333333333,SAFE
6201,0.0,5.5,5.5,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,5.5,0.018333333333333333,0.018333333333333333,0.0,SAFE
710,0.0,2.6,2.6,0.208,80.0,T17,Branch_701-708,300.0,0.95736,7.0104,4.008,2.9713,4.9893,0.0325,0.008666666666666666,0.008666666666666666,0.26666666666666666,SAFE
633,0.0,19.6,19.6,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.91348,17.0383,11.6797,8.589,14.4978,19.6,0.13066666666666668,0.13066666666666668,0.0,SAFE
721,0.0,3.4,3.4,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.1414,4.1987,2.8231,5.0595,3.4,0.0006799999999999999,0.0006799999999999999,0.0,SAFE
7693,0.0,4.1,4.1,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,4.1,0.02733333333333333,0.02733333333333333,0.0,SAFE
6322,7.8,19.3,27.1,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,27.1,0.18066666666666667,0.12866666666666668,0.0,SAFE
733,0.0,14.5,14.5,0.24,0.0,-,Main_720-734,5000.0,0.91348,17.0383,11.6797,8.589,14.4978,14.5,0.0029,0.0029,0.0,SAFE
6241,0.0,9.3,9.3,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,9.3,0.031000000000000003,0.031000000000000003,0.0,SAFE
720,0.0,5.7,5.7,0.24,66.0,T2,Main_720-734,300.0,0.99456,7.0957,4.1795,2.816,5.0396,0.08636363636363636,0.019,0.019,0.22,SAFE
622,0.0,12.2,12.2,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1872,4.2178,2.8303,5.0794,12.2,0.04066666666666666,0.04066666666666666,0.0,SAFE
740,1.5,1.1,2.6,0.24,75.0,T5,Main_735-750,150.0,0.98202,23.0885,14.9212,11.4648,18.8171,0.034666666666666665,0.017333333333333333,0.007333333333333334,0.5,SAFE
633,1.6,18.2,19.8,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.91348,17.0383,11.6797,8.589,14.4978,19.8,0.132,0.12133333333333333,0.0,SAFE
748,0.0,6.3,6.3,0.24,76.88,T8,Main_735-750,150.0,0.95585,27.31,18.8387,13.9267,23.4276,0.08194588969823101,0.041999999999999996,0.041999999999999996,0.5125333333333333,SAFE
7692,6.1,3.5,9.6,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,9.6,0.064,0.023333333333333334,0.0,SAFE
7392,0.0,5.6,5.6,0.24,0.0,T6,LV_secondary_T2_T4,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,5.6,0.03733333333333333,0.03733333333333333,0.0,SAFE
6262,0.0,4.6,4.6,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,4.6,0.015333333333333332,0.015333333333333332,0.0,SAFE
6331,0.0,7.7,7.7,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.91348,17.0383,11.6797,8.589,14.4978,7.7,0.051333333333333335,0.051333333333333335,0.0,SAFE
626,1.9,13.8,15.700000000000001,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,15.700000000000001,0.052333333333333336,0.046,0.0,SAFE
6261,2.0,14.8,16.8,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,16.8,0.056,0.04933333333333333,0.0,SAFE
732,0.0,4.6,4.6,0.24,25.4,T4,Main_720-734,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,0.1811023622047244,0.030666666666666665,0.030666666666666665,0.16933333333333334,SAFE
6322,0.0,4.5,4.5,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,4.5,0.03,0.03,0.0,SAFE
708,6.0,9.4,15.4,0.24,75.0,T16,Branch_701-708,300.0,0.95801,6.2484,3.6185,2.8328,4.5954,0.20533333333333334,0.051333333333333335,0.03133333333333333,0.25,SAFE
626,0.0,13.4,13.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,13.4,0.04466666666666667,0.04466666666666667,0.0,SAFE
621,8.6,19.4,28.0,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,28.0,0.09333333333333334,0.06466666666666666,0.0,SAFE
726,0.0,8.7,8.7,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.2329,4.237,2.8374,5.0993,8.7,0.0017399999999999998,0.0017399999999999998,0.0,SAFE
6261,0.0,18.1,18.1,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,18.1,0.060333333333333336,0.060333333333333336,0.0,SAFE
620,0.0,19.7,19.7,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,19.7,0.06566666666666666,0.06566666666666666,0.0,SAFE
7122,7.6,6.4,14.0,0.24,0.0,T18,LV_secondary_T2_T4,300.0,0.95826,7.7724,4.5565,3.3703,5.6675,14.0,0.04666666666666667,0.021333333333333336,0.0,SAFE
7481,0.0,3.9,3.9,0.24,0.0,T8,LV_secondary_T2_T4,150.0,0.95585,27.31,18.8387,13.9267,23.4276,3.9,0.026,0.026,0.0,SAFE
632,0.0,12.0,12.0,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,12.0,0.08,0.08,0.0,SAFE
6202,0.0,2.1,2.1,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,2.1,0.007,0.007,0.0,SAFE
7483,0.0,18.5,18.5,0.24,0.0,T8,LV_secondary_T2_T4,150.0,0.95585,27.31,18.8387,13.9267,23.4276,18.5,0.12333333333333334,0.12333333333333334,0.0,SAFE
632,0.0,19.3,19.3,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,19.3,0.12866666666666668,0.12866666666666668,0.0,SAFE
730,0.0,2.3,2.3,0.24,85.0,T23,Main_720-734,300.0,0.94696,11.8872,7.965,5.8252,9.8678,0.027058823529411764,0.007666666666666666,0.007666666666666666,0.2833333333333333,SAFE
748,6.1,8.7,14.799999999999999,0.24,76.88,T8,Main_735-750,150.0,0.95585,27.31,18.8387,13.9267,23.4276,0.19250780437044746,0.09866666666666667,0.057999999999999996,0.5125333333333333,SAFE
625,0.0,12.8,12.8,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1872,4.2178,2.8303,5.0794,12.8,0.04266666666666667,0.04266666666666667,0.0,SAFE
7642,0.0,7.0,7.0,0.24,0.0,T14,LV_secondary_T2_T4,150.0,0.9365,42.617,29.4074,21.7473,36.5751,7.0,0.04666666666666667,0.04666666666666667,0.0,SAFE
6202,0.0,5.5,5.5,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,5.5,0.018333333333333333,0.018333333333333333,0.0,SAFE
772,9.4,9.7,19.1,0.208,100.0,T19,Delta_766-772,300.0,0.93424,43.184,29.887,22.1458,37.1977,0.191,0.06366666666666668,0.03233333333333333,0.3333333333333333,SAFE
621,10.0,9.7,19.7,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,19.7,0.06566666666666666,0.03233333333333333,0.0,SAFE
708,0.0,11.2,11.2,0.24,75.0,T16,Branch_701-708,300.0,0.95801,6.2484,3.6185,2.8328,4.5954,0.14933333333333332,0.03733333333333333,0.03733333333333333,0.25,SAFE
721,8.9,18.7,27.6,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.1414,4.1987,2.8231,5.0595,27.6,0.005520000000000001,0.00374,0.0,SAFE
6241,0.0,6.4,6.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,6.4,0.021333333333333336,0.021333333333333336,0.0,SAFE
7692,0.0,14.4,14.4,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,14.4,0.096,0.096,0.0,SAFE
7643,3.7,1.1,4.800000000000001,0.24,0.0,T14,LV_secondary_T2_T4,150.0,0.9365,42.617,29.4074,21.7473,36.5751,4.800000000000001,0.03200000000000001,0.007333333333333334,0.0,SAFE
715,0.0,18.8,18.8,0.208,0.0,-,Branch_701-708,5000.0,0.99083,0.9144,0.4676,0.2627,0.5363,18.8,0.0037600000000000003,0.0037600000000000003,0.0,SAFE
716,2.4,17.9,20.299999999999997,0.48,15.85,T24(HV),Branch_701-708,300.0,0.97763,0.9144,0.4676,0.2627,0.5363,1.280757097791798,0.06766666666666665,0.05966666666666666,0.05283333333333333,SAFE
769,2.8,12.5,15.3,0.24,41.0,T22,Delta_766-772,150.0,0.95405,44.5068,31.369,22.8385,38.8022,0.37317073170731707,0.10200000000000001,0.08333333333333333,0.2733333333333333,SAFE
759,0.0,10.6,10.6,0.24,35.0,T12,Branch_752-765,150.0,0.93737,40.2701,27.7136,20.528,34.4883,0.3028571428571428,0.07066666666666667,0.07066666666666667,0.23333333333333334,SAFE
626,0.0,2.8,2.8,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,2.8,0.009333333333333332,0.009333333333333332,0.0,SAFE
764,0.0,1.8,1.8,0.24,46.0,T14,Branch_752-765,150.0,0.9365,42.617,29.4074,21.7473,36.5751,0.0391304347826087,0.012,0.012,0.30666666666666664,SAFE
721,0.0,13.1,13.1,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.1414,4.1987,2.8231,5.0595,13.1,0.00262,0.00262,0.0,SAFE
6332,0.0,11.5,11.5,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.91348,17.0383,11.6797,8.589,14.4978,11.5,0.07666666666666666,0.07666666666666666,0.0,SAFE
621,7.2,3.1,10.3,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,10.3,0.034333333333333334,0.010333333333333333,0.0,SAFE
724,6.2,11.4,17.6,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.1414,4.1987,2.8231,5.0595,17.6,0.00352,0.00228,0.0,SAFE
723,0.0,9.2,9.2,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.2329,4.237,2.8374,5.0993,9.2,0.0018399999999999998,0.0018399999999999998,0.0,SAFE
6232,8.7,18.1,26.8,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,26.8,0.08933333333333333,0.060333333333333336,0.0,SAFE
6231,0.0,5.0,5.0,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,5.0,0.016666666666666666,0.016666666666666666,0.0,SAFE
715,0.0,7.7,7.7,0.208,0.0,-,Branch_701-708,5000.0,0.99083,0.9144,0.4676,0.2627,0.5363,7.7,0.0015400000000000001,0.0015400000000000001,0.0,SAFE
6262,9.3,19.5,28.8,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,28.8,0.096,0.065,0.0,SAFE
748,8.3,17.4,25.7,0.24,76.88,T8,Main_735-750,150.0,0.95585,27.31,18.8387,13.9267,23.4276,0.3342872008324662,0.17133333333333334,0.11599999999999999,0.5125333333333333,SAFE
6262,4.0,1.5,5.5,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,5.5,0.018333333333333333,0.005,0.0,SAFE
6262,8.3,16.2,24.5,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,24.5,0.08166666666666667,0.054,0.0,SAFE
762,4.4,4.0,8.4,0.48,45.0,T13,Branch_752-765,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.18666666666666668,0.056,0.02666666666666667,0.3,SAFE
624,0.0,17.3,17.3,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,17.3,0.05766666666666667,0.05766666666666667,0.0,SAFE
7122,8.8,7.6,16.4,0.24,0.0,T18,LV_secondary_T2_T4,300.0,0.95826,7.7724,4.5565,3.3703,5.6675,16.4,0.05466666666666666,0.025333333333333333,0.0,SAFE
740,0.0,1.4,1.4,0.24,75.0,T5,Main_735-750,150.0,0.98202,23.0885,14.9212,11.4648,18.8171,0.018666666666666665,0.009333333333333332,0.009333333333333332,0.5,SAFE
6212,0.0,6.3,6.3,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,6.3,0.020999999999999998,0.020999999999999998,0.0,SAFE
764,0.0,7.7,7.7,0.24,46.0,T14,Branch_752-765,150.0,0.9365,42.617,29.4074,21.7473,36.5751,0.1673913043478261,0.051333333333333335,0.051333333333333335,0.30666666666666664,SAFE
7691,0.0,7.3,7.3,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,7.3,0.048666666666666664,0.048666666666666664,0.0,SAFE
759,3.4,4.4,7.800000000000001,0.24,35.0,T12,Branch_752-765,150.0,0.93737,40.2701,27.7136,20.528,34.4883,0.22285714285714286,0.052000000000000005,0.029333333333333336,0.23333333333333334,SAFE
715,0.0,12.3,12.3,0.208,0.0,-,Branch_701-708,5000.0,0.99083,0.9144,0.4676,0.2627,0.5363,12.3,0.00246,0.00246,0.0,SAFE
6202,2.0,9.3,11.3,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,11.3,0.03766666666666667,0.031000000000000003,0.0,SAFE
732,1.0,5.8,6.8,0.24,25.4,T4,Main_720-734,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,0.2677165354330709,0.04533333333333333,0.03866666666666667,0.16933333333333334,SAFE
7691,7.6,14.1,21.7,0.24,0.0,T22,LV_secondary_T2_T4,150.0,0.95405,44.5068,31.369,22.8385,38.8022,21.7,0.14466666666666667,0.094,0.0,SAFE
733,0.0,7.9,7.9,0.24,0.0,-,Main_720-734,5000.0,0.91348,17.0383,11.6797,8.589,14.4978,7.9,0.00158,0.00158,0.0,SAFE
6212,2.1,12.8,14.9,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,14.9,0.049666666666666665,0.04266666666666667,0.0,SAFE
772,3.9,10.6,14.5,0.208,100.0,T19,Delta_766-772,300.0,0.93424,43.184,29.887,22.1458,37.1977,0.145,0.04833333333333333,0.035333333333333335,0.3333333333333333,SAFE
770,0.0,11.5,11.5,0.24,450.0,T15,Delta_766-772,1500.0,0.95059,44.5068,31.369,22.8385,38.8022,0.025555555555555557,0.007666666666666666,0.007666666666666666,0.3,SAFE
6242,6.5,13.9,20.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,20.4,0.06799999999999999,0.04633333333333334,0.0,SAFE
772,3.7,8.7,12.399999999999999,0.208,100.0,T19,Delta_766-772,300.0,0.93424,43.184,29.887,22.1458,37.1977,0.12399999999999999,0.041333333333333326,0.028999999999999998,0.3333333333333333,SAFE
734,0.0,9.2,9.2,0.24,15.85,-,Main_720-734,5000.0,0.90591,17.084,11.7015,8.5933,14.5179,0.5804416403785488,0.0018399999999999998,0.0018399999999999998,0.00317,SAFE
6211,0.0,9.8,9.8,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,9.8,0.03266666666666667,0.03266666666666667,0.0,SAFE
739,9.6,10.7,20.299999999999997,0.24,41.1,T6,Main_735-750,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,0.49391727493917265,0.1353333333333333,0.07133333333333333,0.274,SAFE
726,0.0,13.5,13.5,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.2329,4.237,2.8374,5.0993,13.5,0.0027,0.0027,0.0,SAFE
6212,3.1,2.8,5.9,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1414,4.1987,2.8231,5.0595,5.9,0.01966666666666667,0.009333333333333332,0.0,SAFE
6201,0.0,5.3,5.3,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,5.3,0.017666666666666667,0.017666666666666667,0.0,SAFE
623,6.5,1.9,8.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.2329,4.237,2.8374,5.0993,8.4,0.028,0.006333333333333333,0.0,SAFE
708,6.2,9.7,15.899999999999999,0.24,75.0,T16,Branch_701-708,300.0,0.95801,6.2484,3.6185,2.8328,4.5954,0.212,0.053,0.03233333333333333,0.25,SAFE
6251,0.0,10.4,10.4,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.1872,4.2178,2.8303,5.0794,10.4,0.034666666666666665,0.034666666666666665,0.0,SAFE
620,9.0,18.0,27.0,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,27.0,0.09,0.06,0.0,SAFE
6322,7.3,5.2,12.5,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.92105,16.9926,11.6578,8.5847,14.4776,12.5,0.08333333333333333,0.034666666666666665,0.0,SAFE
7391,0.0,2.0,2.0,0.24,0.0,T6,LV_secondary_T2_T4,150.0,0.98477,24.6125,15.6519,11.8507,19.6321,2.0,0.013333333333333334,0.013333333333333334,0.0,SAFE
720,7.0,9.7,16.7,0.24,66.0,T2,Main_720-734,300.0,0.99456,7.0957,4.1795,2.816,5.0396,0.253030303030303,0.05566666666666666,0.03233333333333333,0.22,SAFE
6202,6.5,19.1,25.6,0.24,0.0,T2,LV_secondary_T2_T4,300.0,0.99456,7.0957,4.1795,2.816,5.0396,25.6,0.08533333333333334,0.06366666666666668,0.0,SAFE
7483,5.0,9.1,14.1,0.24,0.0,T8,LV_secondary_T2_T4,150.0,0.95585,27.31,18.8387,13.9267,23.4276,14.1,0.094,0.06066666666666667,0.0,SAFE
725,0.0,15.1,15.1,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.1872,4.2178,2.8303,5.0794,15.1,0.00302,0.00302,0.0,SAFE
759,3.5,15.3,18.8,0.24,35.0,T12,Branch_752-765,150.0,0.93737,40.2701,27.7136,20.528,34.4883,0.5371428571428571,0.12533333333333332,0.10200000000000001,0.23333333333333334,SAFE
7642,0.0,10.2,10.2,0.24,0.0,T14,LV_secondary_T2_T4,150.0,0.9365,42.617,29.4074,21.7473,36.5751,10.2,0.06799999999999999,0.06799999999999999,0.0,SAFE
6332,0.0,2.5,2.5,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.91348,17.0383,11.6797,8.589,14.4978,2.5,0.016666666666666666,0.016666666666666666,0.0,SAFE
762,1.7,7.4,9.1,0.48,45.0,T13,Branch_752-765,150.0,0.93629,42.0074,28.9831,21.4317,36.0463,0.20222222222222222,0.06066666666666667,0.04933333333333333,0.3,SAFE
724,7.4,5.4,12.8,0.24,0.0,-,Main_720-734,5000.0,0.99456,7.1414,4.1987,2.8231,5.0595,12.8,0.00256,0.00108,0.0,SAFE
633,0.0,8.9,8.9,0.24,0.0,T4,LV_secondary_T2_T4,150.0,0.91348,17.0383,11.6797,8.589,14.4978,8.9,0.059333333333333335,0.059333333333333335,0.0,SAFE
