pv_bus,pv_bus_vn_kv,existing_pv_kw,new_pv_kw,total_pv_kw,existing_load_at_bus_kw,pv_penetration_ratio,transformer_association,feeder_section,label
7481,0.24,0,40,40,0.0,40.0,T8,LV_secondary_T2_T4,SAFE
6322,0.24,0,127,127,0.0,127.0,T4,LV_secondary_T2_T4,CAUTION
6262,0.24,0,20,20,0.0,20.0,T2,LV_secondary_T2_T4,SAFE
7122,0.24,0,111,111,0.0,111.0,T18,LV_secondary_T2_T4,CAUTION
6321,0.24,0,179,179,0.0,179.0,T4,LV_secondary_T2_T4,CAUTION
6212,0.24,0,31,31,0.0,31.0,T2,LV_secondary_T2_T4,SAFE
624,0.24,0,144,144,0.0,144.0,T2,LV_secondary_T2_T4,CAUTION
710,0.208,0,57,57,80.0,0.7125,T17,Branch_701-708,SAFE
6211,0.24,14,66,80,0.0,80.0,T2,LV_secondary_T2_T4,CAUTION
708,0.24,0,48,48,75.0,0.64,T16,Branch_701-708,SAFE
6331,0.24,0,193,193,0.0,193.0,T4,LV_secondary_T2_T4,CONSTRAINED
6261,0.24,0,179,179,0.0,179.0,T2,LV_secondary_T2_T4,CONSTRAINED
732,0.24,0,187,187,25.4,7.362204724409449,T4,Main_720-734,CONSTRAINED
772,0.208,0,203,203,100.0,2.03,T19,Delta_766-772,CAUTION
626,0.24,0,157,157,0.0,157.0,T2,LV_secondary_T2_T4,CONSTRAINED
734,0.24,0,184,184,15.85,11.608832807570979,-,Main_720-734,CONSTRAINED
740,0.24,11,201,212,75.0,2.8266666666666667,T5,Main_735-750,CAUTION
6211,0.24,0,111,111,0.0,111.0,T2,LV_secondary_T2_T4,CAUTION
7481,0.24,0,94,94,0.0,94.0,T8,LV_secondary_T2_T4,CAUTION
626,0.24,0,183,183,0.0,183.0,T2,LV_secondary_T2_T4,CONSTRAINED
6212,0.24,0,110,110,0.0,110.0,T2,LV_secondary_T2_T4,CAUTION
6332,0.24,5,154,159,0.0,159.0,T4,LV_secondary_T2_T4,CONSTRAINED
6222,0.24,0,117,117,0.0,117.0,T2,LV_secondary_T2_T4,CONSTRAINED
7692,0.24,0,198,198,0.0,198.0,T22,LV_secondary_T2_T4,CONSTRAINED
6322,0.24,0,185,185,0.0,185.0,T4,LV_secondary_T2_T4,CONSTRAINED
625,0.24,5,19,24,0.0,24.0,T2,LV_secondary_T2_T4,SAFE
626,0.24,0,100,100,0.0,100.0,T2,LV_secondary_T2_T4,CONSTRAINED
6202,0.24,0,132,132,0.0,132.0,T2,LV_secondary_T2_T4,CAUTION
720,0.24,10,122,132,66.0,2.0,T2,Main_720-734,CAUTION
7392,0.24,8,10,18,0.0,18.0,T6,LV_secondary_T2_T4,SAFE
723,0.24,6,199,205,0.0,205.0,-,Main_720-734,CONSTRAINED
751,0.48,0,15,15,0.0,15.0,T9,other,SAFE
6202,0.24,0,110,110,0.0,110.0,T2,LV_secondary_T2_T4,CAUTION
740,0.24,15,10,25,75.0,0.3333333333333333,T5,Main_735-750,SAFE
6212,0.24,0,190,190,0.0,190.0,T2,LV_secondary_T2_T4,CONSTRAINED
769,0.24,14,11,25,41.0,0.6097560975609756,T22,Delta_766-772,SAFE
622,0.24,0,37,37,0.0,37.0,T2,LV_secondary_T2_T4,SAFE
625,0.24,6,179,185,0.0,185.0,T2,LV_secondary_T2_T4,CONSTRAINED
6331,0.24,0,206,206,0.0,206.0,T4,LV_secondary_T2_T4,CONSTRAINED
6331,0.24,0,245,245,0.0,245.0,T4,LV_secondary_T2_T4,CONSTRAINED
6262,0.24,0,29,29,0.0,29.0,T2,LV_secondary_T2_T4,SAFE
7641,0.24,0,52,52,0.0,52.0,T14,LV_secondary_T2_T4,SAFE
728,0.24,10,155,165,38.0,4.342105263157895,T3,Main_720-734,CONSTRAINED
7482,0.24,0,195,195,0.0,195.0,T8,LV_secondary_T2_T4,CAUTION
7641,0.24,0,59,59,0.0,59.0,T14,LV_secondary_T2_T4,CAUTION
748,0.24,0,213,213,76.88,2.7705515088449535,T8,Main_735-750,CAUTION
740,0.24,0,69,69,75.0,0.92,T5,Main_735-750,SAFE
708,0.24,3,222,225,75.0,3.0,T16,Branch_701-708,CAUTION
748,0.24,0,229,229,76.88,2.978668054110302,T8,Main_735-750,CONSTRAINED
7481,0.24,0,166,166,0.0,166.0,T8,LV_secondary_T2_T4,CAUTION
721,0.24,10,230,240,0.0,240.0,-,Main_720-734,CONSTRAINED
632,0.24,5,31,36,0.0,36.0,T4,LV_secondary_T2_T4,SAFE
734,0.24,0,85,85,15.85,5.3627760252365935,-,Main_720-734,CONSTRAINED
733,0.24,3,233,236,0.0,236.0,-,Main_720-734,CONSTRAINED
722,0.24,0,145,145,0.0,145.0,-,Main_720-734,CONSTRAINED
739,0.24,0,25,25,41.1,0.6082725060827251,T6,Main_735-750,SAFE
7122,0.24,0,183,183,0.0,183.0,T18,LV_secondary_T2_T4,CAUTION
6201,0.24,0,213,213,0.0,213.0,T2,LV_secondary_T2_T4,CAUTION
624,0.24,0,86,86,0.0,86.0,T2,LV_secondary_T2_T4,CAUTION
739,0.24,12,193,205,41.1,4.987834549878345,T6,Main_735-750,CONSTRAINED
7641,0.24,0,184,184,0.0,184.0,T14,LV_secondary_T2_T4,CAUTION
722,0.24,12,32,44,0.0,44.0,-,Main_720-734,SAFE
7692,0.24,0,13,13,0.0,13.0,T22,LV_secondary_T2_T4,SAFE
739,0.24,4,193,197,41.1,4.793187347931873,T6,Main_735-750,CONSTRAINED
7482,0.24,5,222,227,0.0,227.0,T8,LV_secondary_T2_T4,CONSTRAINED
723,0.24,0,78,78,0.0,78.0,-,Main_720-734,CONSTRAINED
620,0.24,0,117,117,0.0,117.0,T2,LV_secondary_T2_T4,CAUTION
6261,0.24,0,5,5,0.0,5.0,T2,LV_secondary_T2_T4,SAFE
633,0.24,0,207,207,0.0,207.0,T4,LV_secondary_T2_T4,CONSTRAINED
6321,0.24,0,25,25,0.0,25.0,T4,LV_secondary_T2_T4,SAFE
769,0.24,0,152,152,41.0,3.707317073170732,T22,Delta_766-772,CAUTION
7391,0.24,0,138,138,0.0,138.0,T6,LV_secondary_T2_T4,CAUTION
7483,0.24,0,204,204,0.0,204.0,T8,LV_secondary_T2_T4,CAUTION
633,0.24,0,23,23,0.0,23.0,T4,LV_secondary_T2_T4,SAFE
728,0.24,11,62,73,38.0,1.9210526315789473,T3,Main_720-734,CAUTION
722,0.24,3,169,172,0.0,172.0,-,Main_720-734,CONSTRAINED
7482,0.24,4,197,201,0.0,201.0,T8,LV_secondary_T2_T4,CAUTION
733,0.24,0,72,72,0.0,72.0,-,Main_720-734,CAUTION
724,0.24,0,163,163,0.0,163.0,-,Main_720-734,CONSTRAINED
772,0.208,0,189,189,100.0,1.89,T19,Delta_766-772,CAUTION
6231,0.24,0,227,227,0.0,227.0,T2,LV_secondary_T2_T4,CONSTRAINED
726,0.24,0,27,27,0.0,27.0,-,Main_720-734,SAFE
751,0.48,9,136,145,0.0,145.0,T9,other,SAFE
624,0.24,0,102,102,0.0,102.0,T2,LV_secondary_T2_T4,CAUTION
6261,0.24,7,218,225,0.0,225.0,T2,LV_secondary_T2_T4,CONSTRAINED
759,0.24,0,196,196,35.0,5.6,T12,Branch_752-765,CONSTRAINED
770,0.24,0,39,39,450.0,0.08666666666666667,T15,Delta_766-772,SAFE
632,0.24,11,58,69,0.0,69.0,T4,LV_secondary_T2_T4,CAUTION
751,0.48,4,121,125,0.0,125.0,T9,other,SAFE
748,0.24,4,180,184,76.88,2.393340270551509,T8,Main_735-750,CAUTION
716,0.48,0,145,145,15.85,9.14826498422713,T24(HV),Branch_701-708,CONSTRAINED
7481,0.24,0,8,8,0.0,8.0,T8,LV_secondary_T2_T4,SAFE
6321,0.24,10,130,140,0.0,140.0,T4,LV_secondary_T2_T4,CAUTION
6221,0.24,0,112,112,0.0,112.0,T2,LV_secondary_T2_T4,CONSTRAINED
722,0.24,13,132,145,0.0,145.0,-,Main_720-734,CONSTRAINED
6232,0.24,0,65,65,0.0,65.0,T2,LV_secondary_T2_T4,CONSTRAINED
772,0.208,5,211,216,100.0,2.16,T19,Delta_766-772,CAUTION
723,0.24,11,225,236,0.0,236.0,-,Main_720-734,CONSTRAINED
743,0.24,15,207,222,240.0,0.925,T7,Main_735-750,SAFE
759,0.24,14,28,42,35.0,1.2,T12,Branch_752-765,SAFE
769,0.24,0,201,201,41.0,4.902439024390244,T22,Delta_766-772,CONSTRAINED
7642,0.24,4,69,73,0.0,73.0,T14,LV_secondary_T2_T4,CAUTION
7693,0.24,0,56,56,0.0,56.0,T22,LV_secondary_T2_T4,CAUTION
740,0.24,0,31,31,75.0,0.41333333333333333,T5,Main_735-750,SAFE
7691,0.24,0,88,88,0.0,88.0,T22,LV_secondary_T2_T4,CAUTION
6231,0.24,0,116,116,0.0,116.0,T2,LV_secondary_T2_T4,CONSTRAINED
7122,0.24,0,219,219,0.0,219.0,T18,LV_secondary_T2_T4,CAUTION
6242,0.24,0,66,66,0.0,66.0,T2,LV_secondary_T2_T4,SAFE
748,0.24,0,27,27,76.88,0.3511966701352758,T8,Main_735-750,SAFE
7483,0.24,0,11,11,0.0,11.0,T8,LV_secondary_T2_T4,SAFE
739,0.24,14,232,246,41.1,5.985401459854014,T6,Main_735-750,CONSTRAINED
7392,0.24,0,197,197,0.0,197.0,T6,LV_secondary_T2_T4,CONSTRAINED
6212,0.24,0,60,60,0.0,60.0,T2,LV_secondary_T2_T4,SAFE
733,0.24,0,146,146,0.0,146.0,-,Main_720-734,CONSTRAINED
7641,0.24,13,213,226,0.0,226.0,T14,LV_secondary_T2_T4,CONSTRAINED
732,0.24,0,164,164,25.4,6.456692913385827,T4,Main_720-734,CAUTION
708,0.24,0,76,76,75.0,1.0133333333333334,T16,Branch_701-708,SAFE
7121,0.24,0,145,145,0.0,145.0,T18,LV_secondary_T2_T4,CAUTION
723,0.24,6,225,231,0.0,231.0,-,Main_720-734,CONSTRAINED
715,0.208,14,198,212,0.0,212.0,-,Branch_701-708,SAFE
6251,0.24,0,216,216,0.0,216.0,T2,LV_secondary_T2_T4,CONSTRAINED
7691,0.24,0,245,245,0.0,245.0,T22,LV_secondary_T2_T4,CONSTRAINED
751,0.48,0,172,172,0.0,172.0,T9,other,SAFE
6212,0.24,0,72,72,0.0,72.0,T2,LV_secondary_T2_T4,SAFE
6251,0.24,0,143,143,0.0,143.0,T2,LV_secondary_T2_T4,CONSTRAINED
715,0.208,5,72,77,0.0,77.0,-,Branch_701-708,SAFE
6242,0.24,0,163,163,0.0,163.0,T2,LV_secondary_T2_T4,CONSTRAINED
6332,0.24,0,60,60,0.0,60.0,T4,LV_secondary_T2_T4,CAUTION
725,0.24,0,186,186,0.0,186.0,-,Main_720-734,CONSTRAINED
770,0.24,0,78,78,450.0,0.17333333333333334,T15,Delta_766-772,SAFE
6252,0.24,8,12,20,0.0,20.0,T2,LV_secondary_T2_T4,SAFE
7643,0.24,12,87,99,0.0,99.0,T14,LV_secondary_T2_T4,CAUTION
726,0.24,0,153,153,0.0,153.0,-,Main_720-734,CONSTRAINED
6241,0.24,0,168,168,0.0,168.0,T2,LV_secondary_T2_T4,CONSTRAINED
7691,0.24,10,116,126,0.0,126.0,T22,LV_secondary_T2_T4,CAUTION
6231,0.24,10,39,49,0.0,49.0,T2,LV_secondary_T2_T4,CAUTION
6262,0.24,0,208,208,0.0,208.0,T2,LV_secondary_T2_T4,CONSTRAINED
769,0.24,6,119,125,41.0,3.048780487804878,T22,Delta_766-772,CAUTION
7691,0.24,0,192,192,0.0,192.0,T22,LV_secondary_T2_T4,CONSTRAINED
7483,0.24,13,81,94,0.0,94.0,T8,LV_secondary_T2_T4,CAUTION
748,0.24,0,208,208,76.88,2.705515088449532,T8,Main_735-750,CAUTION
714,0.208,3,7,10,240.0,0.041666666666666664,T24,Branch_701-708,SAFE
7482,0.24,15,55,70,0.0,70.0,T8,LV_secondary_T2_T4,SAFE
739,0.24,0,248,248,41.1,6.034063260340632,T6,Main_735-750,CONSTRAINED
732,0.24,0,119,119,25.4,4.685039370078741,T4,Main_720-734,CAUTION
715,0.208,0,47,47,0.0,47.0,-,Branch_701-708,SAFE
622,0.24,0,34,34,0.0,34.0,T2,LV_secondary_T2_T4,SAFE
6241,0.24,0,135,135,0.0,135.0,T2,LV_secondary_T2_T4,CAUTION
723,0.24,14,205,219,0.0,219.0,-,Main_720-734,CONSTRAINED
734,0.24,0,203,203,15.85,12.807570977917981,-,Main_720-734,CONSTRAINED
6221,0.24,4,134,138,0.0,138.0,T2,LV_secondary_T2_T4,CONSTRAINED
6222,0.24,0,191,191,0.0,191.0,T2,LV_secondary_T2_T4,CONSTRAINED
7392,0.24,0,217,217,0.0,217.0,T6,LV_secondary_T2_T4,CONSTRAINED
6262,0.24,10,20,30,0.0,30.0,T2,LV_secondary_T2_T4,SAFE
6241,0.24,11,20,31,0.0,31.0,T2,LV_secondary_T2_T4,SAFE
6252,0.24,0,216,216,0.0,216.0,T2,LV_secondary_T2_T4,CONSTRAINED
723,0.24,0,42,42,0.0,42.0,-,Main_720-734,CAUTION
732,0.24,4,198,202,25.4,7.952755905511811,T4,Main_720-734,CONSTRAINED
769,0.24,0,170,170,41.0,4.146341463414634,T22,Delta_766-772,CAUTION
6211,0.24,0,208,208,0.0,208.0,T2,LV_secondary_T2_T4,CONSTRAINED
6321,0.24,10,198,208,0.0,208.0,T4,LV_secondary_T2_T4,CONSTRAINED
714,0.208,0,191,191,240.0,0.7958333333333333,T24,Branch_701-708,SAFE
7483,0.24,0,132,132,0.0,132.0,T8,LV_secondary_T2_T4,CAUTION
734,0.24,0,197,197,15.85,12.429022082018928,-,Main_720-734,CONSTRAINED
724,0.24,0,125,125,0.0,125.0,-,Main_720-734,CAUTION
6261,0.24,9,79,88,0.0,88.0,T2,LV_secondary_T2_T4,CONSTRAINED
740,0.24,0,105,105,75.0,1.4,T5,Main_735-750,CAUTION
625,0.24,0,122,122,0.0,122.0,T2,LV_secondary_T2_T4,CONSTRAINED
6252,0.24,7,193,200,0.0,200.0,T2,LV_secondary_T2_T4,CONSTRAINED
626,0.24,14,55,69,0.0,69.0,T2,LV_secondary_T2_T4,CONSTRAINED
712,0.24,0,108,108,65.0,1.6615384615384616,T18,Branch_701-708,CAUTION
7693,0.24,0,176,176,0.0,176.0,T22,LV_secondary_T2_T4,CAUTION
769,0.24,0,32,32,41.0,0.7804878048780488,T22,Delta_766-772,SAFE
732,0.24,0,224,224,25.4,8.818897637795276,T4,Main_720-734,CONSTRAINED
708,0.24,0,164,164,75.0,2.1866666666666665,T16,Branch_701-708,CAUTION
7481,0.24,0,53,53,0.0,53.0,T8,LV_secondary_T2_T4,SAFE
6231,0.24,0,104,104,0.0,104.0,T2,LV_secondary_T2_T4,CONSTRAINED
7482,0.24,11,79,90,0.0,90.0,T8,LV_secondary_T2_T4,CAUTION
7481,0.24,0,250,250,0.0,250.0,T8,LV_secondary_T2_T4,CONSTRAINED
710,0.208,0,102,102,80.0,1.275,T17,Branch_701-708,CAUTION
623,0.24,10,137,147,0.0,147.0,T2,LV_secondary_T2_T4,CONSTRAINED
6211,0.24,12,157,169,0.0,169.0,T2,LV_secondary_T2_T4,CONSTRAINED
7391,0.24,0,122,122,0.0,122.0,T6,LV_secondary_T2_T4,CAUTION
7122,0.24,0,248,248,0.0,248.0,T18,LV_secondary_T2_T4,CAUTION
772,0.208,0,9,9,100.0,0.09,T19,Delta_766-772,SAFE
621,0.24,0,174,174,0.0,174.0,T2,LV_secondary_T2_T4,CONSTRAINED
730,0.24,10,87,97,85.0,1.1411764705882352,T23,Main_720-734,CAUTION
728,0.24,3,146,149,38.0,3.9210526315789473,T3,Main_720-734,CONSTRAINED
724,0.24,0,242,242,0.0,242.0,-,Main_720-734,CONSTRAINED
6211,0.24,5,56,61,0.0,61.0,T2,LV_secondary_T2_T4,SAFE
772,0.208,10,191,201,100.0,2.01,T19,Delta_766-772,CAUTION
772,0.208,0,246,246,100.0,2.46,T19,Delta_766-772,CAUTION
7642,0.24,4,111,115,0.0,115.0,T14,LV_secondary_T2_T4,CAUTION
6232,0.24,0,18,18,0.0,18.0,T2,LV_secondary_T2_T4,SAFE
6232,0.24,0,217,217,0.0,217.0,T2,LV_secondary_T2_T4,CONSTRAINED
7642,0.24,0,71,71,0.0,71.0,T14,LV_secondary_T2_T4,CAUTION
6261,0.24,0,194,194,0.0,194.0,T2,LV_secondary_T2_T4,CONSTRAINED
626,0.24,0,89,89,0.0,89.0,T2,LV_secondary_T2_T4,CONSTRAINED
6321,0.24,0,205,205,0.0,205.0,T4,LV_secondary_T2_T4,CONSTRAINED
6202,0.24,0,120,120,0.0,120.0,T2,LV_secondary_T2_T4,CAUTION
730,0.24,0,125,125,85.0,1.4705882352941178,T23,Main_720-734,CAUTION
748,0.24,0,35,35,76.88,0.4552549427679501,T8,Main_735-750,SAFE
7121,0.24,0,179,179,0.0,179.0,T18,LV_secondary_T2_T4,CAUTION
769,0.24,0,117,117,41.0,2.8536585365853657,T22,Delta_766-772,CAUTION
623,0.24,0,177,177,0.0,177.0,T2,LV_secondary_T2_T4,CONSTRAINED
6331,0.24,0,89,89,0.0,89.0,T4,LV_secondary_T2_T4,CAUTION
6202,0.24,0,148,148,0.0,148.0,T2,LV_secondary_T2_T4,CAUTION
721,0.24,0,34,34,0.0,34.0,-,Main_720-734,SAFE
721,0.24,0,10,10,0.0,10.0,-,Main_720-734,SAFE
762,0.48,0,72,72,45.0,1.6,T13,Branch_752-765,CAUTION
722,0.24,0,178,178,0.0,178.0,-,Main_720-734,CONSTRAINED
6251,0.24,0,59,59,0.0,59.0,T2,LV_secondary_T2_T4,CAUTION
726,0.24,0,51,51,0.0,51.0,-,Main_720-734,CONSTRAINED
625,0.24,6,210,216,0.0,216.0,T2,LV_secondary_T2_T4,CONSTRAINED
723,0.24,0,53,53,0.0,53.0,-,Main_720-734,CONSTRAINED
770,0.24,0,100,100,450.0,0.2222222222222222,T15,Delta_766-772,SAFE
730,0.24,0,119,119,85.0,1.4,T23,Main_720-734,CAUTION
724,0.24,0,155,155,0.0,155.0,-,Main_720-734,CONSTRAINED
7692,0.24,0,195,195,0.0,195.0,T22,LV_secondary_T2_T4,CONSTRAINED
632,0.24,0,236,236,0.0,236.0,T4,LV_secondary_T2_T4,CONSTRAINED
626,0.24,0,168,168,0.0,168.0,T2,LV_secondary_T2_T4,CONSTRAINED
7643,0.24,0,91,91,0.0,91.0,T14,LV_secondary_T2_T4,CAUTION
6221,0.24,0,102,102,0.0,102.0,T2,LV_secondary_T2_T4,CONSTRAINED
730,0.24,0,142,142,85.0,1.6705882352941177,T23,Main_720-734,CAUTION
622,0.24,13,215,228,0.0,228.0,T2,LV_secondary_T2_T4,CONSTRAINED
770,0.24,14,23,37,450.0,0.08222222222222222,T15,Delta_766-772,SAFE
6331,0.24,10,171,181,0.0,181.0,T4,LV_secondary_T2_T4,CONSTRAINED
714,0.208,0,143,143,240.0,0.5958333333333333,T24,Branch_701-708,SAFE
762,0.48,4,202,206,45.0,4.5777777777777775,T13,Branch_752-765,CONSTRAINED
7393,0.24,0,11,11,0.0,11.0,T6,LV_secondary_T2_T4,SAFE
733,0.24,0,144,144,0.0,144.0,-,Main_720-734,CONSTRAINED
725,0.24,0,182,182,0.0,182.0,-,Main_720-734,CONSTRAINED
764,0.24,0,82,82,46.0,1.7826086956521738,T14,Branch_752-765,CAUTION
725,0.24,15,59,74,0.0,74.0,-,Main_720-734,CAUTION
6221,0.24,4,68,72,0.0,72.0,T2,LV_secondary_T2_T4,CAUTION
625,0.24,0,187,187,0.0,187.0,T2,LV_secondary_T2_T4,CONSTRAINED
622,0.24,0,90,90,0.0,90.0,T2,LV_secondary_T2_T4,CONSTRAINED
7641,0.24,5,182,187,0.0,187.0,T14,LV_secondary_T2_T4,CAUTION
6221,0.24,0,107,107,0.0,107.0,T2,LV_secondary_T2_T4,CONSTRAINED
6211,0.24,0,21,21,0.0,21.0,T2,LV_secondary_T2_T4,SAFE
6201,0.24,14,169,183,0.0,183.0,T2,LV_secondary_T2_T4,CAUTION
716,0.48,0,143,143,15.85,9.022082018927446,T24(HV),Branch_701-708,CONSTRAINED
7693,0.24,5,18,23,0.0,23.0,T22,LV_secondary_T2_T4,SAFE
772,0.208,12,211,223,100.0,2.23,T19,Delta_766-772,CAUTION
6212,0.24,13,184,197,0.0,197.0,T2,LV_secondary_T2_T4,CONSTRAINED
764,0.24,0,187,187,46.0,4.065217391304348,T14,Branch_752-765,CAUTION
769,0.24,0,133,133,41.0,3.2439024390243905,T22,Delta_766-772,CAUTION
739,0.24,0,227,227,41.1,5.523114355231144,T6,Main_735-750,CONSTRAINED
708,0.24,0,54,54,75.0,0.72,T16,Branch_701-708,SAFE
6332,0.24,4,234,238,0.0,238.0,T4,LV_secondary_T2_T4,CONSTRAINED
622,0.24,0,214,214,0.0,214.0,T2,LV_secondary_T2_T4,CONSTRAINED
712,0.24,12,168,180,65.0,2.769230769230769,T18,Branch_701-708,CAUTION
620,0.24,0,225,225,0.0,225.0,T2,LV_secondary_T2_T4,CAUTION
6321,0.24,0,208,208,0.0,208.0,T4,LV_secondary_T2_T4,CONSTRAINED
7691,0.24,0,16,16,0.0,16.0,T22,LV_secondary_T2_T4,SAFE
743,0.24,0,93,93,240.0,0.3875,T7,Main_735-750,SAFE
724,0.24,0,221,221,0.0,221.0,-,Main_720-734,CONSTRAINED
