bus_id,bus_name,pp_bus_idx,voltage_level_kv,voltage_level_label,phase_configuration,existing_load_kw,existing_q_kvar,base_voltage_pu,transformer_association,feeder_section,pv_eligible,eligibility_reason
745,745,54,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9783,-,Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
746,746,55,24.9,24.9 kV MV,Y 24.9kV primary,30.0,21.0,0.9777,-,Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
747,747,56,24.9,24.9 kV MV,Y 24.9kV primary,80.0,35.0,0.9651,T8(HV),Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
749,749,58,24.9,24.9 kV MV,Y 24.9kV primary,50.0,25.0,0.9648,-,Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
750,750,59,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9665,T9(HV),Main_735-750,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
752,752,61,24.9,24.9 kV MV,Y 24.9kV primary,600.0,290.0,0.9438,-,Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
753,753,62,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9437,T10,Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
754,754,63,34.5,34.5 kV MV,34.5kV,0,0,0.9439,T10(HV),Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
755,755,64,34.5,34.5 kV MV,34.5kV,0,0,0.9438,T11(HV),Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
757,757,66,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9424,-,Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
758,758,67,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9424,T12(HV),Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
760,760,69,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.941,-,Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
761,761,70,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9409,T13(HV),Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
763,763,72,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9409,T14(HV),Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
765,765,74,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9398,T20(HV),Branch_752-765,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
766,766,75,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9347,T20,Delta_766-772,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
767,767,76,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9636,Reg 3,Delta_766-772,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
768,768,77,12.47,12.47 kV MV,Delta 12.47kV,0,0,0.9574,T22(HV),Delta_766-772,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
771,771,80,24.9,24.9 kV MV,Y 24.9kV primary,0,0,0.9397,T19(HV),Delta_766-772,NO,MV primary feeder - not LV rooftop (Phase1: LV only)
