pv_bus,pv_bus_vn_kv,existing_pv_kw,new_pv_kw,total_pv_kw,existing_load_at_bus_kw,pv_penetration_ratio,transformer_association,feeder_section,label,constraint_type,delta_pv_bus_voltage_pu,pv_max_voltage_pu,pv_max_transformer_loading_pct,reverse_power_flow
723,0.24,0,179,179,0.0,179.0,-,Main_720-734,CONSTRAINED,voltage,0.15749,1.15206,92.6,1
721,0.24,14,211,225,0.0,225.0,-,Main_720-734,CONSTRAINED,voltage,0.0706,1.07027,92.5,1
716,0.48,0,192,192,15.85,12.113564668769717,T24(HV),Branch_701-708,CONSTRAINED,voltage,0.09642,1.07406,547.74,0
740,0.24,0,178,178,75.0,2.3733333333333335,T5,Main_735-750,CAUTION,caution,0.01476,1.00725,92.38,1
7392,0.24,0,231,231,0.0,231.0,T6,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.01895,1.00772,126.77,1
6242,0.24,0,171,171,0.0,171.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.05864,1.05321,92.57,1
6232,0.24,9,48,57,0.0,57.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.04638,1.05017,92.72,0
759,0.24,6,161,167,35.0,4.771428571428571,T12,Branch_752-765,CAUTION,caution,0.01925,1.00766,92.95,1
621,0.24,0,121,121,0.0,121.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.04227,1.03684,92.63,1
725,0.24,0,246,246,0.0,246.0,-,Main_720-734,CONSTRAINED,voltage,0.1476,1.14217,92.52,1
6212,0.24,0,250,250,0.0,250.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.0834,1.07797,92.48,1
733,0.24,0,22,22,0.0,22.0,-,Main_720-734,SAFE,none,0.01079,1.00559,92.72,0
6202,0.24,3,8,11,0.0,11.0,T2,LV_secondary_T2_T4,SAFE,none,0.00026,1.00544,92.79,0
7121,0.24,4,142,146,0.0,146.0,T18,LV_secondary_T2_T4,CAUTION,caution,0.00608,1.00618,92.69,1
6211,0.24,0,74,74,0.0,74.0,T2,LV_secondary_T2_T4,SAFE,none,0.02633,1.0209,92.69,0
6222,0.24,0,128,128,0.0,128.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.08212,1.07669,92.63,1
708,0.24,0,8,8,75.0,0.10666666666666667,T16,Branch_701-708,SAFE,none,0.0003,1.00541,92.8,0
624,0.24,0,235,235,0.0,235.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.0788,1.07337,92.49,1
7122,0.24,8,216,224,0.0,224.0,T18,LV_secondary_T2_T4,CAUTION,caution,0.00912,1.00657,92.64,1
740,0.24,8,221,229,75.0,3.0533333333333332,T5,Main_735-750,CONSTRAINED,transformer_loading,0.01809,1.00775,105.19,1
6241,0.24,0,170,170,0.0,170.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.05832,1.05289,92.57,1
708,0.24,0,21,21,75.0,0.28,T16,Branch_701-708,SAFE,none,0.00079,1.00549,92.79,0
712,0.24,0,59,59,65.0,0.9076923076923077,T18,Branch_701-708,SAFE,none,0.00257,1.00571,92.76,0
6241,0.24,11,73,84,0.0,84.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.02575,1.02434,92.68,1
6231,0.24,0,97,97,0.0,97.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.09119,1.08576,92.68,1
6212,0.24,0,194,194,0.0,194.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.06599,1.06055,92.54,1
7392,0.24,8,239,247,0.0,247.0,T6,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.0195,1.00787,137.17,1
6211,0.24,7,172,179,0.0,179.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.05865,1.05578,92.56,1
708,0.24,0,120,120,75.0,1.6,T16,Branch_701-708,CAUTION,caution,0.00443,1.00604,92.71,1
626,0.24,10,89,99,0.0,99.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.08266,1.08747,92.67,1
7483,0.24,5,70,75,0.0,75.0,T8,LV_secondary_T2_T4,SAFE,none,0.00696,1.00632,92.47,0
624,0.24,11,133,144,0.0,144.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.04586,1.04444,92.6,1
764,0.24,0,207,207,46.0,4.5,T14,Branch_752-765,CONSTRAINED,transformer_loading,0.02539,1.0082,112.9,1
620,0.24,15,231,246,0.0,246.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.00718,1.00695,92.43,1
621,0.24,0,34,34,0.0,34.0,T2,LV_secondary_T2_T4,SAFE,none,0.0123,1.00686,92.75,0
6211,0.24,13,85,98,0.0,98.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.0298,1.02911,92.66,1
7391,0.24,12,181,193,0.0,193.0,T6,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.01494,1.00736,102.0,1
759,0.24,0,180,180,35.0,5.142857142857143,T12,Branch_752-765,CONSTRAINED,transformer_loading,0.02148,1.00782,101.75,1
6322,0.24,9,97,106,0.0,106.0,T4,LV_secondary_T2_T4,CAUTION,caution,0.00716,1.00642,92.46,1
724,0.24,0,159,159,0.0,159.0,-,Main_720-734,CONSTRAINED,voltage_rise,0.05477,1.04934,92.58,1
725,0.24,0,92,92,0.0,92.0,-,Main_720-734,CONSTRAINED,voltage,0.0604,1.05497,92.67,1
708,0.24,12,114,126,75.0,1.68,T16,Branch_701-708,CAUTION,caution,0.00419,1.00608,92.71,1
6261,0.24,0,210,210,0.0,210.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.18068,1.17525,92.57,1
7643,0.24,3,189,192,0.0,192.0,T14,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.02326,1.00801,102.83,1
764,0.24,0,125,125,46.0,2.717391304347826,T14,Branch_752-765,CAUTION,caution,0.01568,1.00714,92.39,1
739,0.24,0,190,190,41.1,4.622871046228711,T6,Main_735-750,CONSTRAINED,transformer_loading,0.01573,1.00734,100.04,1
748,0.24,3,97,100,76.88,1.3007284079084287,T8,Main_735-750,CAUTION,caution,0.00959,1.00663,92.44,1
626,0.24,0,172,172,0.0,172.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.15213,1.1467,92.6,1
7122,0.24,9,50,59,0.0,59.0,T18,LV_secondary_T2_T4,SAFE,none,0.00218,1.00571,92.76,0
620,0.24,0,166,166,0.0,166.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.00524,1.00646,92.55,1
6322,0.24,0,179,179,0.0,179.0,T4,LV_secondary_T2_T4,CAUTION,caution,0.01301,1.00708,99.24,1
6202,0.24,0,142,142,0.0,142.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.0045,1.00631,92.59,1
620,0.24,0,206,206,0.0,206.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.00646,1.00671,92.49,1
770,0.24,0,198,198,450.0,0.44,T15,Delta_766-772,SAFE,none,0.02414,1.00842,92.26,0
732,0.24,10,28,38,25.4,1.4960629921259843,T4,Main_720-734,SAFE,none,0.0021,1.00575,92.66,0
7392,0.24,0,167,167,0.0,167.0,T6,LV_secondary_T2_T4,CAUTION,caution,0.0139,1.00711,92.39,1
633,0.24,0,209,209,0.0,209.0,T4,LV_secondary_T2_T4,CONSTRAINED,voltage_rise,0.09306,1.00716,110.88,1
721,0.24,7,45,52,0.0,52.0,-,Main_720-734,SAFE,none,0.01611,1.01324,92.72,0
7481,0.24,0,40,40,0.0,40.0,T8,LV_secondary_T2_T4,SAFE,none,0.00402,1.00588,92.6,0
6322,0.24,0,127,127,0.0,127.0,T4,LV_secondary_T2_T4,CAUTION,caution,0.00935,1.00661,92.44,1
6262,0.24,0,20,20,0.0,20.0,T2,LV_secondary_T2_T4,SAFE,none,0.02026,1.01483,92.77,0
7122,0.24,0,111,111,0.0,111.0,T18,LV_secondary_T2_T4,CAUTION,caution,0.00479,1.00599,92.72,1
6321,0.24,0,179,179,0.0,179.0,T4,LV_secondary_T2_T4,CAUTION,caution,0.01301,1.00708,99.24,1
6212,0.24,0,31,31,0.0,31.0,T2,LV_secondary_T2_T4,SAFE,none,0.01122,1.00579,92.76,0
624,0.24,0,144,144,0.0,144.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.04988,1.04444,92.6,1
710,0.208,0,57,57,80.0,0.7125,T17,Branch_701-708,SAFE,none,0.00228,1.0057,92.76,0
6211,0.24,14,66,80,0.0,80.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.02329,1.02297,92.68,1
708,0.24,0,48,48,75.0,0.64,T16,Branch_701-708,SAFE,none,0.0018,1.00565,92.77,0
6331,0.24,0,193,193,0.0,193.0,T4,LV_secondary_T2_T4,CONSTRAINED,voltage_rise,0.08657,1.00705,101.12,1
6261,0.24,0,179,179,0.0,179.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.15749,1.15206,92.6,1
732,0.24,0,187,187,25.4,7.362204724409449,T4,Main_720-734,CONSTRAINED,transformer_loading,0.01357,1.00715,104.83,1
772,0.208,0,203,203,100.0,2.03,T19,Delta_766-772,CAUTION,caution,0.02134,1.00823,92.28,1
626,0.24,0,157,157,0.0,157.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.14046,1.13503,92.62,1
734,0.24,0,184,184,15.85,11.608832807570979,-,Main_720-734,CONSTRAINED,voltage,0.14581,1.05174,92.41,1
740,0.24,11,201,212,75.0,2.8266666666666667,T5,Main_735-750,CAUTION,caution,0.0165,1.00758,94.3,1
6211,0.24,0,111,111,0.0,111.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.03893,1.0335,92.64,1
7481,0.24,0,94,94,0.0,94.0,T8,LV_secondary_T2_T4,CAUTION,caution,0.00932,1.00656,92.45,1
626,0.24,0,183,183,0.0,183.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.16054,1.15511,92.59,1
6212,0.24,0,110,110,0.0,110.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.03859,1.03316,92.64,1
6332,0.24,5,154,159,0.0,159.0,T4,LV_secondary_T2_T4,CONSTRAINED,voltage_rise,0.07,1.0068,92.42,1
6222,0.24,0,117,117,0.0,117.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.07558,1.07015,92.65,1
7692,0.24,0,198,198,0.0,198.0,T22,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.02951,1.00827,107.01,1
6322,0.24,0,185,185,0.0,185.0,T4,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.01343,1.00714,103.43,1
625,0.24,5,19,24,0.0,24.0,T2,LV_secondary_T2_T4,SAFE,none,0.01303,1.01109,92.77,0
626,0.24,0,100,100,0.0,100.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.09376,1.08833,92.67,1
6202,0.24,0,132,132,0.0,132.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.00419,1.00624,92.6,1
720,0.24,10,122,132,66.0,2.0,T2,Main_720-734,CAUTION,caution,0.00386,1.00624,92.6,1
7392,0.24,8,10,18,0.0,18.0,T6,LV_secondary_T2_T4,SAFE,none,0.00086,1.00557,92.73,0
723,0.24,6,199,205,0.0,205.0,-,Main_720-734,CONSTRAINED,voltage,0.17083,1.17157,92.58,1
751,0.48,0,15,15,0.0,15.0,T9,other,SAFE,none,0.0011,1.00555,92.73,0
6202,0.24,0,110,110,0.0,110.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.0035,1.0061,92.63,1
740,0.24,15,10,25,75.0,0.3333333333333333,T5,Main_735-750,SAFE,none,0.00086,1.00565,92.7,0
6212,0.24,0,190,190,0.0,190.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.06472,1.05929,92.54,1
769,0.24,14,11,25,41.0,0.6097560975609756,T22,Delta_766-772,SAFE,none,0.00173,1.00577,92.66,0
622,0.24,0,37,37,0.0,37.0,T2,LV_secondary_T2_T4,SAFE,none,0.02523,1.0198,92.75,0
625,0.24,6,179,185,0.0,185.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.11056,1.10932,92.57,1
6331,0.24,0,206,206,0.0,206.0,T4,LV_secondary_T2_T4,CONSTRAINED,voltage_rise,0.09185,1.00714,109.06,1
6331,0.24,0,245,245,0.0,245.0,T4,LV_secondary_T2_T4,CONSTRAINED,voltage_rise,0.10735,1.02084,132.48,1
6262,0.24,0,29,29,0.0,29.0,T2,LV_secondary_T2_T4,SAFE,none,0.0291,1.02367,92.76,0
7641,0.24,0,52,52,0.0,52.0,T14,LV_secondary_T2_T4,SAFE,none,0.00666,1.00613,92.51,0
728,0.24,10,155,165,38.0,4.342105263157895,T3,Main_720-734,CONSTRAINED,transformer_loading,0.02881,1.00664,178.04,1
7482,0.24,0,195,195,0.0,195.0,T8,LV_secondary_T2_T4,CAUTION,caution,0.01885,1.00773,92.33,1
7641,0.24,0,59,59,0.0,59.0,T14,LV_secondary_T2_T4,CAUTION,caution,0.00754,1.00623,92.48,1
748,0.24,0,213,213,76.88,2.7705515088449535,T8,Main_735-750,CAUTION,caution,0.0205,1.00793,98.13,1
740,0.24,0,69,69,75.0,0.92,T5,Main_735-750,SAFE,none,0.00587,1.00613,92.51,0
708,0.24,3,222,225,75.0,3.0,T16,Branch_701-708,CAUTION,caution,0.00803,1.00658,92.64,1
748,0.24,0,229,229,76.88,2.978668054110302,T8,Main_735-750,CONSTRAINED,transformer_loading,0.02195,1.00811,108.37,1
7481,0.24,0,166,166,0.0,166.0,T8,LV_secondary_T2_T4,CAUTION,caution,0.01616,1.00741,92.36,1
721,0.24,10,230,240,0.0,240.0,-,Main_720-734,CONSTRAINED,voltage,0.07668,1.07491,92.49,1
632,0.24,5,31,36,0.0,36.0,T4,LV_secondary_T2_T4,SAFE,none,0.00233,1.00573,92.67,0
734,0.24,0,85,85,15.85,5.3627760252365935,-,Main_720-734,CONSTRAINED,voltage_rise,0.07282,1.00616,92.5,1
733,0.24,3,233,236,0.0,236.0,-,Main_720-734,CONSTRAINED,voltage_rise,0.10233,1.01731,127.13,1
722,0.24,0,145,145,0.0,145.0,-,Main_720-734,CONSTRAINED,voltage,0.09207,1.08664,92.61,1
739,0.24,0,25,25,41.1,0.6082725060827251,T6,Main_735-750,SAFE,none,0.00215,1.00564,92.7,0
7122,0.24,0,183,183,0.0,183.0,T18,LV_secondary_T2_T4,CAUTION,caution,0.00779,1.00637,92.67,1
6201,0.24,0,213,213,0.0,213.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.00667,1.00675,92.48,1
624,0.24,0,86,86,0.0,86.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.03045,1.02502,92.68,1
739,0.24,12,193,205,41.1,4.987834549878345,T6,Main_735-750,CONSTRAINED,transformer_loading,0.01588,1.00748,109.83,1
7641,0.24,0,184,184,0.0,184.0,T14,LV_secondary_T2_T4,CAUTION,caution,0.02271,1.00791,97.45,1
722,0.24,12,32,44,0.0,44.0,-,Main_720-734,SAFE,none,0.02152,1.02442,92.74,0
7692,0.24,0,13,13,0.0,13.0,T22,LV_secondary_T2_T4,SAFE,none,0.00206,1.00557,92.73,0
739,0.24,4,193,197,41.1,4.793187347931873,T6,Main_735-750,CONSTRAINED,transformer_loading,0.01594,1.0074,104.61,1
7482,0.24,5,222,227,0.0,227.0,T8,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.02127,1.00808,107.09,1
723,0.24,0,78,78,0.0,78.0,-,Main_720-734,CONSTRAINED,voltage,0.07459,1.06916,92.7,0
620,0.24,0,117,117,0.0,117.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.00372,1.00615,92.62,1
6261,0.24,0,5,5,0.0,5.0,T2,LV_secondary_T2_T4,SAFE,none,0.00515,1.0054,92.8,0
633,0.24,0,207,207,0.0,207.0,T4,LV_secondary_T2_T4,CONSTRAINED,voltage_rise,0.09225,1.00715,109.67,1
6321,0.24,0,25,25,0.0,25.0,T4,LV_secondary_T2_T4,SAFE,none,0.00189,1.00562,92.71,0
769,0.24,0,152,152,41.0,3.707317073170732,T22,Delta_766-772,CAUTION,caution,0.02299,1.00765,92.34,1
7391,0.24,0,138,138,0.0,138.0,T6,LV_secondary_T2_T4,CAUTION,caution,0.01156,1.00683,92.42,1
7483,0.24,0,204,204,0.0,204.0,T8,LV_secondary_T2_T4,CAUTION,caution,0.01968,1.00783,92.41,1
633,0.24,0,23,23,0.0,23.0,T4,LV_secondary_T2_T4,SAFE,none,0.01127,1.0056,92.71,0
728,0.24,11,62,73,38.0,1.9210526315789473,T3,Main_720-734,CAUTION,caution,0.01195,1.00598,92.61,1
722,0.24,3,169,172,0.0,172.0,-,Main_720-734,CONSTRAINED,voltage,0.10538,1.10205,92.59,1
7482,0.24,4,197,201,0.0,201.0,T8,LV_secondary_T2_T4,CAUTION,caution,0.019,1.0078,92.32,1
733,0.24,0,72,72,0.0,72.0,-,Main_720-734,CAUTION,caution,0.03432,1.00607,92.54,1
724,0.24,0,163,163,0.0,163.0,-,Main_720-734,CONSTRAINED,voltage,0.05606,1.05063,92.58,1
772,0.208,0,189,189,100.0,1.89,T19,Delta_766-772,CAUTION,caution,0.01993,1.00805,92.3,1
6231,0.24,0,227,227,0.0,227.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.19302,1.18759,92.56,1
726,0.24,0,27,27,0.0,27.0,-,Main_720-734,SAFE,none,0.02715,1.02172,92.76,0
751,0.48,9,136,145,0.0,145.0,T9,other,SAFE,none,0.00975,1.00711,92.39,0
624,0.24,0,102,102,0.0,102.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.0359,1.03046,92.65,1
6261,0.24,7,218,225,0.0,225.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.18439,1.18615,92.56,1
759,0.24,0,196,196,35.0,5.6,T12,Branch_752-765,CONSTRAINED,transformer_loading,0.02329,1.00802,112.56,1
770,0.24,0,39,39,450.0,0.08666666666666667,T15,Delta_766-772,SAFE,none,0.00493,1.006,92.57,0
632,0.24,11,58,69,0.0,69.0,T4,LV_secondary_T2_T4,CAUTION,caution,0.00432,1.00606,92.54,1
751,0.48,4,121,125,0.0,125.0,T9,other,SAFE,none,0.00871,1.00688,92.41,0
748,0.24,4,180,184,76.88,2.393340270551509,T8,Main_735-750,CAUTION,caution,0.01743,1.00761,92.34,1
716,0.48,0,145,145,15.85,9.14826498422713,T24(HV),Branch_701-708,CONSTRAINED,voltage,0.07518,1.05282,410.39,0
7481,0.24,0,8,8,0.0,8.0,T8,LV_secondary_T2_T4,SAFE,none,0.00081,1.00547,92.76,0
6321,0.24,10,130,140,0.0,140.0,T4,LV_secondary_T2_T4,CAUTION,caution,0.00951,1.00673,92.43,1
6221,0.24,0,112,112,0.0,112.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.07258,1.06715,92.65,1
722,0.24,13,132,145,0.0,145.0,-,Main_720-734,CONSTRAINED,voltage,0.08304,1.08664,92.61,1
6232,0.24,0,65,65,0.0,65.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.06292,1.05749,92.71,0
772,0.208,5,211,216,100.0,2.16,T19,Delta_766-772,CAUTION,caution,0.02209,1.0084,92.26,1
723,0.24,11,225,236,0.0,236.0,-,Main_720-734,CONSTRAINED,voltage,0.1882,1.19402,92.55,1
743,0.24,15,207,222,240.0,0.925,T7,Main_735-750,SAFE,none,0.0141,1.00798,92.3,0
759,0.24,14,28,42,35.0,1.2,T12,Branch_752-765,SAFE,none,0.00346,1.00598,92.57,0
769,0.24,0,201,201,41.0,4.902439024390244,T22,Delta_766-772,CONSTRAINED,transformer_loading,0.02993,1.00831,108.98,1
7642,0.24,4,69,73,0.0,73.0,T14,LV_secondary_T2_T4,CAUTION,caution,0.00878,1.00643,92.46,1
7693,0.24,0,56,56,0.0,56.0,T22,LV_secondary_T2_T4,CAUTION,caution,0.00874,1.00625,92.48,1
740,0.24,0,31,31,75.0,0.41333333333333333,T5,Main_735-750,SAFE,none,0.00266,1.00571,92.67,0
7691,0.24,0,88,88,0.0,88.0,T22,LV_secondary_T2_T4,CAUTION,caution,0.01358,1.00673,92.43,1
6231,0.24,0,116,116,0.0,116.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.10728,1.10185,92.66,1
7122,0.24,0,219,219,0.0,219.0,T18,LV_secondary_T2_T4,CAUTION,caution,0.00927,1.00655,92.64,1
6242,0.24,0,66,66,0.0,66.0,T2,LV_secondary_T2_T4,SAFE,none,0.02356,1.01813,92.7,0
748,0.24,0,27,27,76.88,0.3511966701352758,T8,Main_735-750,SAFE,none,0.00272,1.00572,92.67,0
7483,0.24,0,11,11,0.0,11.0,T8,LV_secondary_T2_T4,SAFE,none,0.00111,1.00551,92.75,0
739,0.24,14,232,246,41.1,5.985401459854014,T6,Main_735-750,CONSTRAINED,transformer_loading,0.01891,1.00786,136.52,1
7392,0.24,0,197,197,0.0,197.0,T6,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.01629,1.0074,104.61,1
6212,0.24,0,60,60,0.0,60.0,T2,LV_secondary_T2_T4,SAFE,none,0.02147,1.01604,92.71,0
733,0.24,0,146,146,0.0,146.0,-,Main_720-734,CONSTRAINED,voltage_rise,0.06697,1.0067,92.43,1
7641,0.24,13,213,226,0.0,226.0,T14,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.02589,1.00843,125.64,1
732,0.24,0,164,164,25.4,6.456692913385827,T4,Main_720-734,CAUTION,caution,0.01196,1.00695,92.41,1
708,0.24,0,76,76,75.0,1.0133333333333334,T16,Branch_701-708,SAFE,none,0.00283,1.0058,92.74,0
7121,0.24,0,145,145,0.0,145.0,T18,LV_secondary_T2_T4,CAUTION,caution,0.00622,1.00617,92.69,1
723,0.24,6,225,231,0.0,231.0,-,Main_720-734,CONSTRAINED,voltage,0.18971,1.19046,92.56,1
715,0.208,14,198,212,0.0,212.0,-,Branch_701-708,SAFE,none,0.00466,1.00659,92.64,0
6251,0.24,0,216,216,0.0,216.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.13169,1.12626,92.54,1
7691,0.24,0,245,245,0.0,245.0,T22,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.036,1.00888,137.8,1
751,0.48,0,172,172,0.0,172.0,T9,other,SAFE,none,0.01231,1.00743,92.36,0
6212,0.24,0,72,72,0.0,72.0,T2,LV_secondary_T2_T4,SAFE,none,0.02564,1.02021,92.7,0
6251,0.24,0,143,143,0.0,143.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.09091,1.08548,92.62,1
715,0.208,5,72,77,0.0,77.0,-,Branch_701-708,SAFE,none,0.00173,1.00583,92.74,0
6242,0.24,0,163,163,0.0,163.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.05606,1.05063,92.58,1
6332,0.24,0,60,60,0.0,60.0,T4,LV_secondary_T2_T4,CAUTION,caution,0.02879,1.00596,92.58,1
725,0.24,0,186,186,0.0,186.0,-,Main_720-734,CONSTRAINED,voltage,0.1153,1.10987,92.57,1
770,0.24,0,78,78,450.0,0.17333333333333334,T15,Delta_766-772,SAFE,none,0.00977,1.00662,92.44,0
6252,0.24,8,12,20,0.0,20.0,T2,LV_secondary_T2_T4,SAFE,none,0.00824,1.00838,92.77,0
7643,0.24,12,87,99,0.0,99.0,T14,LV_secondary_T2_T4,CAUTION,caution,0.01096,1.00679,92.42,1
726,0.24,0,153,153,0.0,153.0,-,Main_720-734,CONSTRAINED,voltage,0.13731,1.13188,92.62,1
6241,0.24,0,168,168,0.0,168.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.05768,1.05225,92.57,1
7691,0.24,10,116,126,0.0,126.0,T22,LV_secondary_T2_T4,CAUTION,caution,0.01763,1.00728,92.37,1
6231,0.24,10,39,49,0.0,49.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.03793,1.04275,92.73,0
6262,0.24,0,208,208,0.0,208.0,T2,LV_secondary_T2_T4,CONSTRAINED,voltage,0.17921,1.17378,92.57,1
769,0.24,6,119,125,41.0,3.048780487804878,T22,Delta_766-772,CAUTION,caution,0.01811,1.00727,92.38,1
7691,0.24,0,192,192,0.0,192.0,T22,LV_secondary_T2_T4,CONSTRAINED,transformer_loading,0.02867,1.00819,103.05,1
7483,0.24,13,81,94,0.0,94.0,T8,LV_secondary_T2_T4,CAUTION,caution,0.008,1.00656,92.45,1
748,0.24,0,208,208,76.88,2.705515088449532,T8,Main_735-750,CAUTION,caution,0.02004,1.00788,94.95,1
714,0.208,3,7,10,240.0,0.041666666666666664,T24,Branch_701-708,SAFE,none,0.00017,1.00543,92.8,0
7482,0.24,15,55,70,0.0,70.0,T8,LV_secondary_T2_T4,SAFE,none,0.00546,1.00626,92.47,0
739,0.24,0,248,248,41.1,6.034063260340632,T6,Main_735-750,CONSTRAINED,transformer_loading,0.02027,1.00788,137.82,1
732,0.24,0,119,119,25.4,4.685039370078741,T4,Main_720-734,CAUTION,caution,0.00877,1.00654,92.45,1
715,0.208,0,47,47,0.0,47.0,-,Branch_701-708,SAFE,none,0.00114,1.00565,92.77,0
622,0.24,0,34,34,0.0,34.0,T2,LV_secondary_T2_T4,SAFE,none,0.02324,1.01781,92.75,0
6241,0.24,0,135,135,0.0,135.0,T2,LV_secondary_T2_T4,CAUTION,caution,0.04692,1.04148,92.61,1
723,0.24,14,205,219,0.0,219.0,-,Main_720-734,CONSTRAINED,voltage,0.17297,1.18181,92.57,1
734,0.24,0,203,203,15.85,12.807570977917981,-,Main_720-734,CONSTRAINED,voltage,0.15875,1.06467,100.43,1
