scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,pv_max_voltage_pu,pv_max_transformer_loading_pct,worst_transformer,label,constraint_type,delta
S01586,IEEE_CompTestFeeder,725,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.05294202376346768
S01587,IEEE_CompTestFeeder,725,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.056062903089872274
S01588,IEEE_CompTestFeeder,725,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.059164072799736234
S01589,IEEE_CompTestFeeder,725,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.062245877547639994
S01590,IEEE_CompTestFeeder,726,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.03968567256789779
S01591,IEEE_CompTestFeeder,726,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398422771
S01592,IEEE_CompTestFeeder,726,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.049111813927043224
S01593,IEEE_CompTestFeeder,726,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.05375802317181777
S01594,IEEE_CompTestFeeder,726,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.05836121943978223
S01595,IEEE_CompTestFeeder,726,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.0629225105950415
S01596,IEEE_CompTestFeeder,733,0,75,75,0.91349,0.94918,0.03569,1.0061,92.53,T7,CAUTION,none,0.035687095429034255
S01597,IEEE_CompTestFeeder,733,0,80,80,0.91349,0.95146,0.03796,1.00614,92.51,T7,CAUTION,none,0.03796356986930316
S01598,IEEE_CompTestFeeder,733,0,85,85,0.91349,0.95372,0.04023,1.00619,92.49,T7,CAUTION,none,0.040228291003429284
S01599,IEEE_CompTestFeeder,733,0,90,90,0.91349,0.95597,0.04248,1.00623,92.48,T1,CAUTION,none,0.042481428476196625
S01600,IEEE_CompTestFeeder,733,0,95,95,0.91349,0.95821,0.04472,1.00628,92.47,T1,CAUTION,none,0.04472314787954501
S01601,IEEE_CompTestFeeder,733,0,100,100,0.91349,0.96045,0.04695,1.00632,92.47,T1,CAUTION,none,0.04695361088624106
S01602,IEEE_CompTestFeeder,733,0,110,110,0.91349,0.96487,0.05138,1.0064,92.46,T1,CONSTRAINED,voltage_rise,0.05138139557039789
S01603,IEEE_CompTestFeeder,733,0,120,120,0.91349,0.96926,0.05577,1.00649,92.45,T1,CONSTRAINED,voltage_rise,0.05576600228247164
S01604,IEEE_CompTestFeeder,733,0,130,130,0.91349,0.9736,0.06011,1.00657,92.44,T1,CONSTRAINED,voltage_rise,0.060108595764313044
S01605,IEEE_CompTestFeeder,734,0,40,40,0.90593,0.94165,0.03573,1.00577,92.65,T7,CAUTION,none,0.03572702782470294
S01606,IEEE_CompTestFeeder,734,0,45,45,0.90593,0.94592,0.04,1.00582,92.63,T7,CAUTION,none,0.03999716296171474
S01607,IEEE_CompTestFeeder,734,0,50,50,0.90593,0.95015,0.04423,1.00586,92.62,T7,CAUTION,none,0.04422776633812908
S01608,IEEE_CompTestFeeder,734,0,55,55,0.90593,0.95435,0.04842,1.00591,92.6,T7,CAUTION,none,0.048419882300179795
S01609,IEEE_CompTestFeeder,734,0,60,60,0.90593,0.9585,0.05257,1.00595,92.58,T7,CONSTRAINED,voltage_rise,0.052574509975333084
S01610,IEEE_CompTestFeeder,734,0,65,65,0.90593,0.96262,0.05669,1.006,92.57,T7,CONSTRAINED,voltage_rise,0.05669260596746173
S01611,IEEE_CompTestFeeder,734,0,70,70,0.90593,0.9667,0.06078,1.00604,92.55,T7,CONSTRAINED,voltage_rise,0.06077508684626309
S01612,IEEE_CompTestFeeder,734,0,75,75,0.90593,0.97075,0.06482,1.00608,92.53,T7,CONSTRAINED,voltage_rise,0.0648228314536825
S01613,IEEE_CompTestFeeder,6211,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.035218678156810124
S01614,IEEE_CompTestFeeder,6211,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.03859144511696588
S01615,IEEE_CompTestFeeder,6211,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.04193932134497669
S01616,IEEE_CompTestFeeder,6211,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079494105
S01617,IEEE_CompTestFeeder,6212,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.035218678156810124
S01618,IEEE_CompTestFeeder,6212,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.03859144511696588
S01619,IEEE_CompTestFeeder,6212,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.04193932134497669
S01620,IEEE_CompTestFeeder,6212,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079494105
S01621,IEEE_CompTestFeeder,6221,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.03702916696294534
S01622,IEEE_CompTestFeeder,6221,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.0402541439812677
S01623,IEEE_CompTestFeeder,6221,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.04345752296998262
S01624,IEEE_CompTestFeeder,6221,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.0466397052385793
S01625,IEEE_CompTestFeeder,6221,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.04980107977400616
S01626,IEEE_CompTestFeeder,6221,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.052942023763499324
S01627,IEEE_CompTestFeeder,6221,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.05606290308983641
S01628,IEEE_CompTestFeeder,6221,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.059164072799767875
S01629,IEEE_CompTestFeeder,6221,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.062245877547652984
S01630,IEEE_CompTestFeeder,6222,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.03702916696294534
S01631,IEEE_CompTestFeeder,6222,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.0402541439812677
S01632,IEEE_CompTestFeeder,6222,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.04345752296998262
S01633,IEEE_CompTestFeeder,6222,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.0466397052385793
S01634,IEEE_CompTestFeeder,6222,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.04980107977400616
S01635,IEEE_CompTestFeeder,6222,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.052942023763499324
S01636,IEEE_CompTestFeeder,6222,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.05606290308983641
S01637,IEEE_CompTestFeeder,6222,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.059164072799767875
S01638,IEEE_CompTestFeeder,6222,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.062245877547652984
S01639,IEEE_CompTestFeeder,6231,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.03968567256779154
S01640,IEEE_CompTestFeeder,6231,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398426801
S01641,IEEE_CompTestFeeder,6231,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.049111813927026904
S01642,IEEE_CompTestFeeder,6231,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.0537580231719158
S01643,IEEE_CompTestFeeder,6231,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.05836121943977124
S01644,IEEE_CompTestFeeder,6231,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.0629225105950838
S01645,IEEE_CompTestFeeder,6232,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.03968567256779154
S01646,IEEE_CompTestFeeder,6232,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398426801
S01647,IEEE_CompTestFeeder,6232,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.049111813927026904
S01648,IEEE_CompTestFeeder,6232,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.0537580231719158
S01649,IEEE_CompTestFeeder,6232,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.05836121943977124
S01650,IEEE_CompTestFeeder,6232,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.0629225105950838
S01651,IEEE_CompTestFeeder,6241,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.035218678156795025
S01652,IEEE_CompTestFeeder,6241,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.03859144511700319
S01653,IEEE_CompTestFeeder,6241,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.04193932134493117
S01654,IEEE_CompTestFeeder,6241,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079492839
S01655,IEEE_CompTestFeeder,6242,0,100,100,0.99457,1.02979,0.03522,1.02979,92.66,T7,CAUTION,none,0.035218678156795025
S01656,IEEE_CompTestFeeder,6242,0,110,110,0.99457,1.03316,0.03859,1.03316,92.64,T7,CAUTION,none,0.03859144511700319
S01657,IEEE_CompTestFeeder,6242,0,120,120,0.99457,1.03651,0.04194,1.03651,92.63,T7,CAUTION,none,0.04193932134493117
S01658,IEEE_CompTestFeeder,6242,0,130,130,0.99457,1.03983,0.04526,1.03983,92.62,T7,CAUTION,none,0.04526280079492839
S01659,IEEE_CompTestFeeder,6251,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.03702916696297587
S01660,IEEE_CompTestFeeder,6251,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.04025414398128291
S01661,IEEE_CompTestFeeder,6251,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.04345752296997896
S01662,IEEE_CompTestFeeder,6251,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.046639705238548546
S01663,IEEE_CompTestFeeder,6251,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.04980107977387127
S01664,IEEE_CompTestFeeder,6251,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.05294202376345836
S01665,IEEE_CompTestFeeder,6251,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.056062903089896254
S01666,IEEE_CompTestFeeder,6251,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.05916407279976488
S01667,IEEE_CompTestFeeder,6251,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.06224587754770283
S01668,IEEE_CompTestFeeder,6252,0,55,55,0.99457,1.0316,0.03703,1.0316,92.72,T7,CAUTION,none,0.03702916696297587
S01669,IEEE_CompTestFeeder,6252,0,60,60,0.99457,1.03482,0.04025,1.03482,92.72,T7,CAUTION,none,0.04025414398128291
S01670,IEEE_CompTestFeeder,6252,0,65,65,0.99457,1.03803,0.04346,1.03803,92.71,T7,CAUTION,none,0.04345752296997896
S01671,IEEE_CompTestFeeder,6252,0,70,70,0.99457,1.04121,0.04664,1.04121,92.7,T7,CAUTION,none,0.046639705238548546
S01672,IEEE_CompTestFeeder,6252,0,75,75,0.99457,1.04437,0.0498,1.04437,92.7,T7,CAUTION,none,0.04980107977387127
S01673,IEEE_CompTestFeeder,6252,0,80,80,0.99457,1.04751,0.05294,1.04751,92.69,T7,CONSTRAINED,voltage_rise,0.05294202376345836
S01674,IEEE_CompTestFeeder,6252,0,85,85,0.99457,1.05063,0.05606,1.05063,92.68,T7,CONSTRAINED,voltage,0.056062903089896254
S01675,IEEE_CompTestFeeder,6252,0,90,90,0.99457,1.05373,0.05916,1.05373,92.68,T7,CONSTRAINED,voltage,0.05916407279976488
S01676,IEEE_CompTestFeeder,6252,0,95,95,0.99457,1.05681,0.06225,1.05681,92.67,T7,CONSTRAINED,voltage,0.06224587754770283
S01677,IEEE_CompTestFeeder,6261,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.03968567256789779
S01678,IEEE_CompTestFeeder,6261,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398419729
S01679,IEEE_CompTestFeeder,6261,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.049111813927022796
S01680,IEEE_CompTestFeeder,6261,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.05375802317189504
S01681,IEEE_CompTestFeeder,6261,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.05836121943972361
S01682,IEEE_CompTestFeeder,6261,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.06292251059510012
S01683,IEEE_CompTestFeeder,6262,0,40,40,0.99457,1.03425,0.03969,1.03425,92.74,T7,CAUTION,none,0.03968567256789779
S01684,IEEE_CompTestFeeder,6262,0,45,45,0.99457,1.03899,0.04442,1.03899,92.74,T7,CAUTION,none,0.04442143398419729
S01685,IEEE_CompTestFeeder,6262,0,50,50,0.99457,1.04368,0.04911,1.04368,92.73,T7,CAUTION,none,0.049111813927022796
S01686,IEEE_CompTestFeeder,6262,0,55,55,0.99457,1.04833,0.05376,1.04833,92.73,T7,CONSTRAINED,voltage_rise,0.05375802317189504
S01687,IEEE_CompTestFeeder,6262,0,60,60,0.99457,1.05293,0.05836,1.05293,92.72,T7,CONSTRAINED,voltage,0.05836121943972361
S01688,IEEE_CompTestFeeder,6262,0,65,65,0.99457,1.05749,0.06292,1.05749,92.71,T7,CONSTRAINED,voltage,0.06292251059510012
